file,,name,include,copyright,copyrightLink,category,disputed,territory,all,,style,canton,star,emblemFlag,red white blue,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
70254202.svg,,Nepal,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,star,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
55639524.svg,,Netherlands,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
76407267.svg,,New Zealand,,,none,oceania,,oceaniaTerritories,oceaniaAll,,unionJack,canton,star,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
74935820.svg,,Nicaragua,,,none,na,,naTerritories,naAll,,triband,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
81252300.svg,,Niger,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
88850482.svg,,Nigeria,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
28710735.svg,,North Korea,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,star,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
87316905.svg,,North Macedonia,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
93704402.svg,,Norway,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
68535491.svg,,Oman,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
36028941.svg,,Pakistan,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
77788946.svg,,Palau,,,none,oceania,,oceaniaTerritories,oceaniaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
82438808.svg,,Palestine,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
20572304.svg,,Panama,,,none,na,,naTerritories,naAll,,,,star,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
44695897.svg,,Papua New Guinea,,,none,oceania,,oceaniaTerritories,oceaniaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
73524428.svg,,Paraguay,,,none,sa,,saTerritories,saAll,,triband,,,emblemFlag,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
43092142.svg,,People's Republic of China,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
57252938.svg,,Peru,,,none,sa,,saTerritories,saAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
14917188.svg,,Philippines,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
94268391.svg,,Poland,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
49920611.svg,,Portugal,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
49689615.svg,,Qatar,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
73443308.svg,,Republic of China (Taiwan),,,none,,asiaDisputed,,asiaAll,,,canton,,emblemFlag,rwb,,worldDisputed,,worldAll,,allFiles,allFlags,coldWar
16718463.svg,,Republic of the Congo,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
89114006.svg,,Romania,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
35248096.svg,,Russia,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
72608832.svg,,Rwanda,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
49176152.svg,,Saint Kitts and Nevis,,,none,na,,naTerritories,naAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
13336114.svg,,Saint Lucia,,,none,na,,naTerritories,naAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
07081098.svg,,Saint Vincent and the Grenadines,,,none,na,,naTerritories,naAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
14831521.svg,,Samoa,,,none,oceania,,oceaniaTerritories,oceaniaAll,,,canton,star,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
58987531.svg,,San Marino,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
91835255.svg,,São Tomé and Príncipe,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
38801795.svg,,Saudi Arabia,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
78146989.svg,,Senegal,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
64256652.svg,,Serbia,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,emblemFlag,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
50740461.svg,,Seychelles,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
25938130.svg,,Sierra Leone,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
78614603.svg,,Singapore,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
25224177.svg,,Slovakia,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,emblemFlag,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
93711530.svg,,Slovenia,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,star,emblemFlag,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
26471813.svg,,Solomon Islands,,,none,oceania,,oceaniaTerritories,oceaniaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
35826102.svg,,Somalia,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
13073718.svg,,South Africa,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
88003661.svg,,South Korea,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
32926040.svg,,South Sudan,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
28627402.svg,,Spain,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
64224572.svg,,Sri Lanka,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
